pokemon_id,item_id,move_ids,nature_id,evs,used_in_battle_factory
301,135,290;185;104;215,6,252;252;0;0;0;0,1
302,217,185;109;282;252,6,252;252;0;0;0;0,1
108,135,21;280;122;189,19,252;252;0;0;0;0,1
70,209,75;51;35;230,23,252;0;0;252;0;0,1
75,207,222;88;111;280,11,170;170;0;0;170;0,1
44,133,80;51;78;236,19,252;0;0;252;0;0,1
137,135,60;196;278;97,22,252;0;0;252;0;0,1
64,225,93;272;248;50,12,252;0;252;0;0;0,1
320,232,250;46;111;205,7,0;0;252;0;252;0,1
315,128,345;92;320;178,7,252;0;252;0;0;0,1
313,178,318;109;98;270,19,0;252;0;0;0;252,1
314,178,318;273;98;270,19,252;252;0;0;0;0,1
2,133,80;74;230;210,9,252;0;0;252;0;0,1
5,209,163;83;14;332,17,252;252;0;0;0;0,1
8,207,352;44;189;281,7,252;0;0;252;0;0,1
47,135,163;60;78;148,15,0;0;252;0;252;0,1
67,207,67;317;193;184,11,252;0;0;0;252;0,1
93,133,325;109;180;288,15,252;252;0;0;0;0,1
153,190,75;92;219;113,7,252;0;0;252;0;0,1
156,207,172;154;129;108,7,252;0;0;252;0;0,1
159,209,163;352;44;184,7,0;252;0;252;0;0,1
176,232,332;345;273;266,22,252;0;252;0;0;0,1
198,232,185;19;259;269,19,170;0;170;0;170;0,1
202,207,68;243;204;219,14,170;0;170;0;170;0,1
311,181,209;313;98;270,7,252;0;252;0;0;0,1
312,180,209;204;227;270,7,252;0;252;0;0;0,1
253,190,210;283;280;104,22,252;252;0;0;0;0,1
256,209,52;24;98;28,7,0;252;0;252;0;0,1
259,207,341;55;317;189,1,0;252;0;252;0;0,1
77,129,83;340;98;39,1,252;252;0;0;0;0,1
184,135,61;263;91;182,7,0;0;252;0;252;0,1
185,215,157;185;201;335,1,252;0;0;0;252;0,1
219,232,157;52;151;201,9,252;0;0;0;252;0,1
247,214,91;44;184;201,1,252;0;0;0;0;252,1
364,133,301;258;173;156,19,170;0;170;0;170;0,1
20,228,283;228;184;98,20,170;170;0;0;0;170,1
284,126,318;332;196;78,22,0;252;252;0;0;0,1
162,178,21;182;270;266,25,0;0;252;0;252;0,1
206,232,29;137;111;205,7,252;252;0;0;0;0,1
148,126,225;43;35;219,7,252;0;0;0;252;0,1
262,196,44;305;269;46,5,0;252;0;252;0;0,1
264,191,290;28;343;321,11,252;252;0;0;0;0,1
351,181,52;352;351;196,10,252;0;0;252;0;0,1
372,126,29;225;182;184,1,170;170;0;0;170;0,1
375,207,232;93;228;184,1,0;252;0;0;252;0,1
40,228,47;50;273;290,22,0;0;252;0;252;0,1
192,133,80;275;73;113,19,252;0;252;0;0;0,1
358,225,149;36;215;219,24,252;0;0;252;0;0,1
207,209,232;91;332;98,10,252;0;0;0;252;0,1
211,126,61;42;191;107,12,0;0;0;252;252;0,1
215,133,185;252;196;98,22,170;0;170;0;170;0,1
279,135,352;332;254;256,23,252;0;0;0;252;0,1
277,198,19;283;263;98,11,252;0;0;0;252;0,1
305,210,232;317;334;182,24,252;0;0;0;252;0,1
114,232,72;21;92;20,1,252;0;0;0;252;0,1
24,133,305;91;44;137,11,252;252;0;0;0;0,1
53,228,252;163;259;207,19,170;0;170;0;170;0,1
117,220,62;108;55;240,24,252;0;0;252;0;0,1
352,207,290;60;277;69,20,170;170;170;0;0;0,1
288,207,163;68;227;253,6,252;252;0;0;0;0,1
337,135,93;322;113;201,23,252;0;252;0;0;0,1
338,135,93;83;113;201,23,252;0;0;0;252;0,1
164,133,93;332;185;115,22,252;0;252;0;0;0,1
28,135,306;157;129;201,11,252;0;0;0;252;0,1
49,133,318;60;79;285,19,252;0;0;0;0;252,1
113,135,118;287;111;107,22,0;0;252;0;252;0,1
119,135,352;60;129;97,7,252;0;0;0;252;0,1
189,232,332;207;244;235,7,252;0;0;0;0;252,1
221,214,91;246;258;113,19,252;252;0;0;0;0,1
42,209,314;109;92;211,22,252;252;0;0;0;0,1
57,209,2;68;207;103,19,170;0;170;0;170;0,1
106,218,27;280;116;263,11,252;0;252;0;0;0,1
107,198,183;327;197;68,11,252;0;252;0;0;0,1
203,181,60;23;273;285,23,252;0;0;252;0;0,1
237,178,167;91;183;98,1,252;252;0;0;0;0,1
